;word;count
17;inovação;29
31;tecnologia;26
76;pandemia;25
3;parceria;23
10;plataforma;20
34;varejo;19
20;setor;15
81;crise;14
40;serviços;13
37;coronavírus;12
85;lucro;12
154;negócios;12
54;mercado;11
19;startup;11
53;presidente;11
103;inteligência;10
60;banco;10
94;startups;10
86;trimestre;9
141;serviço;9
39;bancos;9
2;governo;9
125;pagamento;9
72;lojas;8
84;alta;8
331;vendas;8
147;modelo;8
91;clientes;8
38;futuro;8
52;compra;8
199;consumidor;7
12;estratégia;7
122;aporte;7
97;mudanças;6
201;educação;6
79;nuvem;6
13;aquisição;6
318;parcerias;6
0;investimentos;6
27;foco;6
25;venda;6
151;agronegócio;6
106;canais;6
24;sucesso;5
214;saúde;5
117;país;5
195;cliente;5
120;economia;5
330;aumento;5
294;operações;5
64;vagas;5
63;indústria;5
285;negócio;5
62;crédito;5
58;conta;5
269;crescimento;5
98;ganhos;5
137;gestão;4
181;espaço;4
83;comando;4
1;cenário;4
102;uso;4
80;anos;4
152;campo;4
87;plataformas;4
109;soluções;4
191;mundo;4
73;ano;4
46;criação;4
142;compras;4
315;demanda;4
298;aquisições;4
112;testes;4
156;consultoria;4
377;marca;4
50;custo;4
167;projeto;4
390;varejistas;4
15;e-commerce;4
132;liderança;4
316;diretor;3
108;gás;3
183;pessoas;3
107;óleo;3
187;carteira;3
193;experiência;3
155;divisão;3
118;fintech;3
265;processo;3
153;colaboradores;3
149;dados;3
254;alpargatas;3
261;teles;3
168;processos;3
146;marketplace;3
143;entregas;3
119;atendimento;3
215;segmento;3
267;moda;3
209;acesso;3
274;receita;3
297;caixa;3
203;boticário;3
295;comércio;3
95;pão;3
451;programa;3
74;resultados;3
4;ações;3
8;plano;3
32;originação;3
457;investimento;3
422;funcionários;3
48;versão;3
415;vida;3
55;olho;3
386;desafios;3
69;imóveis;3
192;centro;3
100;integração;3
96;açúcar;3
326;instituições;3
345;busca;2
234;planejamento;2
222;transações;2
226;oferta;2
513;tempos;2
501;lançamento;2
231;data;2
232;telemedicina;2
243;fogo;2
237;papel;2
531;hub;2
244;solução;2
252;evolução;2
499;talentos;2
255;operação;2
216;produtos;2
541;aceleração;2
482;sustentabilidade;2
323;capital;2
194;iniciativas;2
590;impactos;2
569;sobrevivência;2
196;chave;2
198;jornada;2
560;formas;2
559;culturas;2
210;general;2
558;hospital;2
202;agenda;2
557;começo;2
206;pesquisa;2
207;construção;2
556;cultura;2
256;desafio;2
466;rock;2
478;impacto;2
374;fundo;2
402;tendência;2
392;tratamento;2
287;comunicação;2
310;modelos;2
376;planos;2
296;marcas;2
309;projetos;2
412;mapa;2
367;cursos;2
299;bmg;2
300;fundadores;2
353;dias;2
303;ativos;2
337;home;2
283;ft;2
273;avanço;2
349;isolamento;2
262;corretores;2
460;cubo;2
258;eficiência;2
453;fusão;2
321;diretoria;2
443;shoppings;2
436;gigante;2
327;ação;2
312;contratações;2
421;faturamento;2
417;tecnologias;2
328;companhias;2
416;líder;2
333;autoleitura;2
271;rodada;2
317;seguros;2
313;g;2
49;diplomas;2
59;loja;2
41;prazo;2
166;chamada;2
33;grãos;2
30;vice-presidência;2
6;balanço;2
157;marketing;2
29;telefonia;2
75;adaptação;2
16;diretor-executivo;2
78;computação;2
18;perspectivas;2
133;julho;2
26;alimentos;2
90;cashback;2
92;bnp;2
93;grupos;2
99;sinergia;2
104;segurança;2
123;cartões;2
110;ministro;2
47;moeda;2
42;junho;2
22;prêmio;2
186;cisco;2
175;conteúdo;2
439;roupas;1
491;prós;1
497;assembleias;1
496;participação;1
427;psicólogo;1
495;luxo;1
494;portas;1
428;manutenção;1
493;casas;1
492;contras;1
489;assistência;1
490;perdas;1
426;caldas;1
488;vices;1
487;seleção;1
486;unidade;1
485;ciclo;1
484;carro;1
483;aprendizados;1
429;terapia;1
498;bairro;1
425;poços;1
28;entrada;1
500;cyrela;1
512;times;1
511;atletas;1
510;esportistas;1
418;engajamento;1
509;esportes;1
508;hora;1
419;diploma;1
420;brechó;1
507;reinvenção;1
506;consumidores;1
505;globo;1
504;abordagem;1
45;membros;1
503;contrato;1
502;pixeon;1
44;crlv;1
423;professores;1
424;aulas;1
23;caso;1
430;energia;1
481;restaurante;1
440;personalização;1
459;maquiagem;1
35;inclusão;1
456;olhos;1
455;menina;1
454;diretor-presidente;1
36;safra;1
452;vivo;1
435;feiras;1
43;adequação;1
450;camisetas;1
449;ajuda;1
448;trainee;1
447;programas;1
446;especializações;1
445;jogos;1
444;sapatos;1
437;trabalho;1
442;empresário;1
441;estratégias;1
438;emprego;1
458;acordo;1
434;família;1
480;ticket;1
461;turbulências;1
479;edenred;1
431;ferramenta;1
477;paciência;1
476;resiliência;1
475;dia;1
474;assuntos;1
473;problemas;1
472;resolução;1
432;pai;1
471;agro;1
514;canal;1
469;complexo;1
468;demandas;1
467;ganhadora;1
433;filho;1
465;funcionalismo;1
464;gympass;1
463;vice-presidente;1
462;executivos;1
470;esports;1
190;veículos;1
515;empreendedores;1
599;regras;1
597;teste;1
596;chaves;1
595;guerra;1
594;vésperas;1
593;aprendizagem;1
592;experiências;1
591;tera;1
5;raia;1
589;clubes;1
588;pós-pa;1
587;bicicletas;1
586;sócio;1
585;dreamers;1
584;hacker;1
583;expansão;1
582;donas;1
581;n;1
580;posse;1
579;réplicas;1
578;implantação;1
577;ci&t;1
576;locação;1
575;unidas;1
598;fundação;1
600;teletrabalho;1
573;registro;1
601;necessidade;1
624;beleza;1
623;varejista;1
622;virada;1
621;desenvolvimento;1
620;inscrições;1
619;ecossistema;1
618;satélite;1
617;disputa;1
616;revolução;1
615;gigantes;1
614;passado;1
613;covid19;1
612;casos;1
611;m;1
610;segredos;1
609;juridiquês;1
608;concurso;1
607;corrida;1
606;avatares;1
605;peças;1
604;frente;1
603;brasileiro;1
602;estagiário;1
574;veículo;1
572;computa;1
516;fundador;1
543;representante;1
540;aplicativos;1
539;missão;1
538;comm;1
537;perucas;1
536;empreendedora;1
535;história;1
534;passos;1
533;unidades;1
532;lesões;1
21;proposta;1
530;calorias;1
529;carboidratos;1
528;vergonha;1
527;jeito;1
526;vittude;1
525;fechamento;1
524;news;1
523;equilíbrio;1
522;possibilidades;1
521;voz;1
519;palestras;1
518;empresários;1
517;evento;1
542;advogada;1
544;premiação;1
571;treinamento;1
545;cws;1
570;edição;1
568;dificuldade;1
567;automação;1
566;desempenho;1
565;avaliação;1
564;receitas;1
563;comida;1
562;sites;1
561;coca-cola;1
7;analistas;1
9;pasta;1
11;mídia;1
14;onda;1
555;encontro;1
554;tema;1
553;marco;1
552;aula;1
551;sala;1
550;neurociência;1
549;donos;1
548;grão;1
547;transporte;1
546;infraestrutura;1
520;assistentes;1
409;união;1
51;recomendação;1
414;autosserviço;1
272;captação;1
138;análise;1
270;neon;1
139;contratos;1
268;nubank;1
140;pré-sal;1
266;casa;1
144;portal;1
264;secretário;1
263;identidade;1
145;vendedores;1
148;coinovação;1
260;rede;1
259;agilidade;1
150;cadeia;1
257;pilar;1
158;performance;1
159;saint-gobain;1
253;ruptura;1
160;maratona;1
251;contas;1
250;peso;1
249;ambiente;1
136;política;1
135;pesquisadores;1
275;realidade;1
289;retomada;1
124;carteiras;1
126;aproximação;1
127;aplicativo;1
128;revendedoras;1
129;conceito;1
130;coisas;1
293;cabeça;1
292;escolas;1
291;íntegra;1
290;força;1
288;banking;1
276;estreia;1
131;chat;1
286;acionistas;1
284;ex-disney;1
134;telefone;1
282;alimentação;1
281;entrega;1
280;escritórios;1
279;perfil;1
278;advogados;1
277;estilo;1
248;abertura;1
247;pizza;1
246;downloads;1
177;estudo;1
217;mobilidade;1
171;escritório;1
172;companhia;1
173;avanços;1
213;delivery;1
212;estabelecimentos;1
211;posicionamento;1
174;biometria;1
208;tendências;1
176;aceleradora;1
205;iniciativa;1
219;operador;1
204;pmes;1
178;preparação;1
179;países;1
180;agricultura;1
200;exit;1
182;relacionamento;1
184;destaques;1
197;cidades;1
185;bots4u;1
188;trânsito;1
218;máquinas;1
220;luz;1
245;transformações;1
164;mulheres;1
161;duração;1
162;intellibrand;1
242;alavancagem;1
241;ênfase;1
240;lumen;1
239;dinheiro;1
238;virtualização;1
163;trade;1
236;frentes;1
235;marketplaces;1
233;capacidade;1
221;novembro;1
165;empregos;1
230;covid;1
229;mobilização;1
228;aportes;1
227;rodadas;1
169;batimento;1
225;agrociência;1
224;usuário;1
223;opções;1
170;volta;1
301;corretora;1
302;ritmo;1
121;ex-diretor;1
67;vídeo;1
65;salários;1
385;margem;1
384;relevância;1
383;pós-graduação;1
382;resultado;1
381;ventos;1
380;queda;1
379;trajetória;1
378;engenheiros;1
66;recurso;1
375;seguradora;1
388;preço;1
68;anúncios;1
373;fazendas;1
372;metas;1
371;cumprimento;1
370;variáveis;1
369;recursos;1
368;formatos;1
70;automóveis;1
366;escola;1
365;atuação;1
387;relações;1
389;concorrência;1
363;portfólio;1
403;elétricas;1
413;distribuição;1
56;praticidade;1
411;esforço;1
410;esforços;1
189;série;1
408;ecossistemas;1
407;mudança;1
406;reestruturação;1
405;produtividade;1
404;implementação;1
57;associados;1
61;linha;1
401;tokens;1
400;fintechs;1
399;convergência;1
398;briga;1
397;competição;1
396;redução;1
395;pressão;1
394;margens;1
393;câncer;1
391;equipamentos;1
364;concessão;1
362;epidemia;1
304;perda;1
105;linx;1
332;centers;1
88;ranking;1
89;otimismo;1
329;bis;1
325;vácuo;1
324;fatia;1
322;opção;1
101;universidades;1
320;barreira;1
319;credenciadoras;1
111;laboratórios;1
334;consumo;1
314;tropicalizado;1
113;caminhões;1
114;mina;1
311;ofensiva;1
115;carajás;1
116;protagonismo;1
308;capacitação;1
307;custos;1
306;sucessão;1
305;estrutura;1
82;troca;1
335;volume;1
361;razão;1
350;segmentos;1
360;dividendo;1
359;petróleo;1
358;preços;1
357;estoques;1
356;fretes;1
355;contratação;1
354;l’oreal;1
71;oportunidades;1
352;capitalização;1
351;proteção;1
348;acessos;1
336;logística;1
347;cibersegurança;1
346;profissionais;1
77;ágora;1
344;escala;1
343;exame;1
342;fluxo;1
341;treinamentos;1
340;ensino;1
339;pós-crise;1
338;office;1
625;ética;1
